Date ,Day,Time,Pred(Ft)
2022/01/01,Sat,02:31,4.5
2022/01/01,Sat,09:28,0.06
2022/01/01,Sat,14:45,5.63
2022/01/01,Sat,22:26,-0.14
2022/01/02,Sun,03:25,4.55
2022/01/02,Sun,10:23,-0.04
2022/01/02,Sun,15:37,5.67
2022/01/02,Sun,23:19,-0.27
2022/01/03,Mon,04:18,4.56
2022/01/03,Mon,11:16,-0.12
2022/01/03,Mon,16:30,5.62
2022/01/04,Tue,00:10,-0.33
2022/01/04,Tue,05:13,4.57
2022/01/04,Tue,12:08,-0.15
2022/01/04,Tue,17:26,5.51
2022/01/05,Wed,01:00,-0.33
2022/01/05,Wed,06:10,4.58
2022/01/05,Wed,13:00,-0.13
2022/01/05,Wed,18:25,5.39
2022/01/06,Thu,01:49,-0.29
2022/01/06,Thu,07:07,4.63
2022/01/06,Thu,13:53,-0.05
2022/01/06,Thu,19:24,5.27
2022/01/07,Fri,02:37,-0.23
2022/01/07,Fri,08:05,4.71
2022/01/07,Fri,14:47,0.06
2022/01/07,Fri,20:21,5.16
2022/01/08,Sat,03:26,-0.16
2022/01/08,Sat,09:00,4.8
2022/01/08,Sat,15:42,0.19
2022/01/08,Sat,21:17,5.03
2022/01/09,Sun,04:14,-0.08
2022/01/09,Sun,09:54,4.89
2022/01/09,Sun,16:39,0.3
2022/01/09,Sun,22:11,4.89
2022/01/10,Mon,05:02,0.01
2022/01/10,Mon,10:47,4.97
2022/01/10,Mon,17:36,0.35
2022/01/10,Mon,23:06,4.75
2022/01/11,Tue,05:50,0.11
2022/01/11,Tue,11:39,5.05
2022/01/11,Tue,18:33,0.34
2022/01/12,Wed,00:00,4.64
2022/01/12,Wed,06:37,0.2
2022/01/12,Wed,12:30,5.13
2022/01/12,Wed,19:28,0.27
2022/01/13,Thu,00:53,4.58
2022/01/13,Thu,07:24,0.27
2022/01/13,Thu,13:18,5.21
2022/01/13,Thu,20:21,0.15
2022/01/14,Fri,01:44,4.55
2022/01/14,Fri,08:10,0.3
2022/01/14,Fri,14:03,5.28
2022/01/14,Fri,21:11,0.04
2022/01/15,Sat,02:32,4.55
2022/01/15,Sat,08:55,0.32
2022/01/15,Sat,14:44,5.32
2022/01/15,Sat,21:57,-0.04
2022/01/16,Sun,03:16,4.53
2022/01/16,Sun,09:38,0.31
2022/01/16,Sun,15:22,5.33
2022/01/16,Sun,22:40,-0.07
