Date ,Day,Time,Pred(Ft)
2022/01/01,Sat,06:06,5.86
2022/01/01,Sat,12:44,-0.78
2022/01/01,Sat,18:34,4.6
2022/01/02,Sun,00:46,-0.7
2022/01/02,Sun,07:00,6.03
2022/01/02,Sun,13:38,-0.96
2022/01/02,Sun,19:29,4.72
2022/01/03,Mon,01:41,-0.78
2022/01/03,Mon,07:52,6.05
2022/01/03,Mon,14:31,-1.04
2022/01/03,Mon,20:22,4.75
2022/01/04,Tue,02:35,-0.76
2022/01/04,Tue,08:45,5.93
2022/01/04,Tue,15:20,-1.01
2022/01/04,Tue,21:17,4.72
2022/01/05,Wed,03:27,-0.63
2022/01/05,Wed,09:38,5.68
2022/01/05,Wed,16:09,-0.88
2022/01/05,Wed,22:13,4.64
2022/01/06,Thu,04:18,-0.39
2022/01/06,Thu,10:32,5.37
2022/01/06,Thu,16:56,-0.65
2022/01/06,Thu,23:09,4.56
2022/01/07,Fri,05:10,-0.06
2022/01/07,Fri,11:26,5.02
2022/01/07,Fri,17:45,-0.38
2022/01/08,Sat,00:03,4.48
2022/01/08,Sat,06:06,0.28
2022/01/08,Sat,12:17,4.65
2022/01/08,Sat,18:35,-0.1
2022/01/09,Sun,00:54,4.41
2022/01/09,Sun,07:09,0.55
2022/01/09,Sun,13:07,4.3
2022/01/09,Sun,19:29,0.13
2022/01/10,Mon,01:44,4.36
2022/01/10,Mon,08:14,0.67
2022/01/10,Mon,13:58,4
2022/01/10,Mon,20:22,0.28
2022/01/11,Tue,02:34,4.33
2022/01/11,Tue,09:14,0.65
2022/01/11,Tue,14:51,3.77
2022/01/11,Tue,21:13,0.36
2022/01/12,Wed,03:25,4.36
2022/01/12,Wed,10:08,0.54
2022/01/12,Wed,15:47,3.66
2022/01/12,Wed,22:00,0.37
2022/01/13,Thu,04:17,4.43
2022/01/13,Thu,10:56,0.4
2022/01/13,Thu,16:44,3.66
2022/01/13,Thu,22:45,0.34
2022/01/14,Fri,05:07,4.56
2022/01/14,Fri,11:42,0.24
2022/01/14,Fri,17:36,3.75
2022/01/14,Fri,23:30,0.27
2022/01/15,Sat,05:52,4.7
2022/01/15,Sat,12:27,0.1
2022/01/15,Sat,18:22,3.87
2022/01/16,Sun,00:15,0.19
2022/01/16,Sun,06:34,4.82
2022/01/16,Sun,13:10,-0.02
2022/01/16,Sun,19:04,3.98
2022/01/17,Mon,00:59,0.11
2022/01/17,Mon,07:12,4.9
2022/01/17,Mon,13:52,-0.11
2022/01/17,Mon,19:44,4.04
2022/01/18,Tue,01:42,0.04
2022/01/18,Tue,07:49,4.94
2022/01/18,Tue,14:31,-0.17
2022/01/18,Tue,20:22,4.06
2022/01/19,Wed,02:22,0.01
2022/01/19,Wed,08:24,4.93
2022/01/19,Wed,15:08,-0.19
2022/01/19,Wed,21:00,4.06
2022/01/20,Thu,03:01,0.01
2022/01/20,Thu,08:59,4.88
2022/01/20,Thu,15:43,-0.18
2022/01/20,Thu,21:38,4.08
2022/01/21,Fri,03:39,0.06
2022/01/21,Fri,09:36,4.79
2022/01/21,Fri,16:16,-0.14
2022/01/21,Fri,22:20,4.13
2022/01/22,Sat,04:18,0.15
2022/01/22,Sat,10:18,4.66
2022/01/22,Sat,16:51,-0.08
2022/01/22,Sat,23:05,4.24
2022/01/23,Sun,05:01,0.27
2022/01/23,Sun,11:06,4.5
2022/01/23,Sun,17:29,0
2022/01/23,Sun,23:53,4.38
2022/01/24,Mon,05:55,0.41
2022/01/24,Mon,11:58,4.32
2022/01/24,Mon,18:16,0.09
2022/01/25,Tue,00:44,4.54
2022/01/25,Tue,07:05,0.49
2022/01/25,Tue,12:55,4.13
2022/01/25,Tue,19:18,0.17
2022/01/26,Wed,01:40,4.7
2022/01/26,Wed,08:23,0.43
2022/01/26,Wed,13:58,3.98
2022/01/26,Wed,20:30,0.16
2022/01/27,Thu,02:41,4.87
2022/01/27,Thu,09:33,0.2
2022/01/27,Thu,15:07,3.93
2022/01/27,Thu,21:37,0.02
2022/01/28,Fri,03:48,5.08
2022/01/28,Fri,10:36,-0.1
2022/01/28,Fri,16:18,4.03
2022/01/28,Fri,22:39,-0.19
2022/01/29,Sat,04:53,5.34
2022/01/29,Sat,11:34,-0.4
2022/01/29,Sat,17:25,4.26
2022/01/29,Sat,23:38,-0.41
2022/01/30,Sun,05:54,5.61
2022/01/30,Sun,12:30,-0.67
2022/01/30,Sun,18:23,4.54
2022/01/31,Mon,00:35,-0.62
2022/01/31,Mon,06:48,5.82
2022/01/31,Mon,13:23,-0.88
2022/01/31,Mon,19:17,4.78
2022/02/01,Tue,01:30,-0.76
2022/02/01,Tue,07:39,5.89
2022/02/01,Tue,14:13,-1.01
2022/02/01,Tue,20:07,4.92
2022/02/02,Wed,02:22,-0.8
2022/02/02,Wed,08:28,5.81
2022/02/02,Wed,14:59,-1.02
2022/02/02,Wed,20:57,4.95
2022/02/03,Thu,03:10,-0.7
2022/02/03,Thu,09:17,5.59
2022/02/03,Thu,15:42,-0.91
2022/02/03,Thu,21:47,4.9
2022/02/04,Fri,03:57,-0.48
2022/02/04,Fri,10:05,5.27
2022/02/04,Fri,16:24,-0.68
2022/02/04,Fri,22:37,4.8
2022/02/05,Sat,04:44,-0.16
2022/02/05,Sat,10:54,4.89
2022/02/05,Sat,17:05,-0.37
2022/02/05,Sat,23:26,4.66
2022/02/06,Sun,05:32,0.2
2022/02/06,Sun,11:42,4.49
2022/02/06,Sun,17:46,-0.01
2022/02/07,Mon,00:13,4.51
2022/02/07,Mon,06:26,0.54
2022/02/07,Mon,12:30,4.12
2022/02/07,Mon,18:32,0.34
2022/02/08,Tue,00:59,4.37
2022/02/08,Tue,07:27,0.77
2022/02/08,Tue,13:20,3.8
2022/02/08,Tue,19:25,0.61
2022/02/09,Wed,01:46,4.24
2022/02/09,Wed,08:32,0.85
2022/02/09,Wed,14:13,3.57
2022/02/09,Wed,20:24,0.77
2022/02/10,Thu,02:37,4.17
2022/02/10,Thu,09:32,0.8
2022/02/10,Thu,15:10,3.46
2022/02/10,Thu,21:21,0.78
2022/02/11,Fri,03:33,4.18
2022/02/11,Fri,10:25,0.66
2022/02/11,Fri,16:11,3.5
2022/02/11,Fri,22:14,0.69
2022/02/12,Sat,04:31,4.29
2022/02/12,Sat,11:13,0.48
2022/02/12,Sat,17:07,3.66
2022/02/12,Sat,23:04,0.52
2022/02/13,Sun,05:24,4.48
2022/02/13,Sun,11:59,0.29
2022/02/13,Sun,17:57,3.88
2022/02/13,Sun,23:51,0.32
2022/02/14,Mon,06:09,4.7
2022/02/14,Mon,12:42,0.09
2022/02/14,Mon,18:40,4.1
2022/02/15,Tue,00:37,0.13
2022/02/15,Tue,06:49,4.9
2022/02/15,Tue,13:24,-0.08
2022/02/15,Tue,19:19,4.29
2022/02/16,Wed,01:21,-0.04
2022/02/16,Wed,07:26,5.04
2022/02/16,Wed,14:03,-0.23
2022/02/16,Wed,19:56,4.45
2022/02/17,Thu,02:03,-0.16
2022/02/17,Thu,08:02,5.1
2022/02/17,Thu,14:39,-0.33
2022/02/17,Thu,20:32,4.58
2022/02/18,Fri,02:43,-0.22
