Date,Day,Time-1,Time-2,Time-3,Time-4,Pred(Ft)-1,Pred(Ft)-2,Pred(Ft)-3,Pred(Ft)-4
2022/01/01,Sat,00:22,06:30,13:13,19:00,-0.54,5.62,-0.79,4.42
2022/01/02,Sun,01:17,07:23,14:07,19:55,-0.68,5.77,-0.98,4.53
2022/01/03,Mon,02:11,08:16,14:58,20:50,-0.76,5.78,-1.06,4.56
2022/01/04,Tue,03:04,09:10,15:48,21:47,-0.74,5.66,-1.02,4.53
2022/01/05,Wed,03:55,10:06,16:37,22:45,-0.6,5.43,-0.87,4.47
2022/01/06,Thu,04:47,11:03,17:26,23:42,-0.34,5.14,-0.63,4.41
2022/01/07,Fri,05:42,11:57,18:17,,-0.01,4.82,-0.35,
2022/01/08,Sat,00:36,06:41,12:49,19:11,4.35,0.32,4.47,-0.08
2022/01/09,Sun,01:27,07:45,13:40,20:06,4.28,0.55,4.13,0.13
2022/01/10,Mon,02:18,08:48,14:33,20:59,4.23,0.63,3.84,0.27
2022/01/11,Tue,03:11,09:46,15:29,21:49,4.2,0.59,3.64,0.35
2022/01/12,Wed,04:04,10:39,16:28,22:36,4.23,0.49,3.56,0.38
2022/01/13,Thu,04:57,11:27,17:23,23:21,4.31,0.35,3.59,0.36
2022/01/14,Fri,05:45,12:13,18:13,,4.43,0.2,3.69,
2022/01/15,Sat,00:05,06:28,12:58,18:57,0.3,4.55,0.06,3.8
2022/01/16,Sun,00:49,07:07,13:41,19:38,0.22,4.66,-0.06,3.88
2022/01/17,Mon,01:32,07:43,14:22,20:17,0.14,4.73,-0.16,3.92
2022/01/18,Tue,02:13,08:17,15:01,20:54,0.06,4.76,-0.21,3.92
2022/01/19,Wed,02:52,08:49,15:38,21:30,0.02,4.74,-0.23,3.92
2022/01/20,Thu,03:29,09:21,16:13,22:07,0.02,4.7,-0.2,3.94
2022/01/21,Fri,04:05,09:56,16:47,22:46,0.07,4.61,-0.14,4
2022/01/22,Sat,04:43,10:37,17:21,23:28,0.17,4.49,-0.06,4.1
2022/01/23,Sun,05:27,11:24,17:59,,0.3,4.34,0.03,
2022/01/24,Mon,00:14,06:25,12:16,18:50,4.24,0.44,4.16,0.14
2022/01/25,Tue,01:04,07:43,13:13,19:58,4.39,0.5,3.98,0.2
2022/01/26,Wed,01:59,09:00,14:17,21:08,4.53,0.4,3.83,0.15
2022/01/27,Thu,03:02,10:06,15:31,22:11,4.67,0.15,3.77,0.01
2022/01/28,Fri,04:12,11:06,16:48,23:11,4.87,-0.14,3.88,-0.2
2022/01/29,Sat,05:21,12:03,17:55,,5.12,-0.44,4.11,
2022/01/30,Sun,00:09,06:21,12:58,18:53,-0.42,5.38,-0.71,4.38
2022/01/31,Mon,01:05,07:15,13:50,19:45,-0.62,5.56,-0.92,4.59
2022/02/01,Tue,01:59,08:06,14:40,20:36,-0.76,5.62,-1.03,4.71
2022/02/02,Wed,02:50,08:56,15:26,21:27,-0.79,5.54,-1.03,4.75
2022/02/03,Thu,03:39,09:46,16:11,22:19,-0.69,5.33,-0.9,4.71
2022/02/04,Fri,04:27,10:36,16:55,23:09,-0.45,5.04,-0.65,4.63
2022/02/05,Sat,05:15,11:26,17:38,23:58,-0.12,4.69,-0.32,4.51
2022/02/06,Sun,06:07,12:15,18:24,,0.24,4.32,0.06,
2022/02/07,Mon,00:46,07:05,13:04,19:14,4.36,0.55,3.96,0.4
2022/02/08,Tue,01:32,08:08,13:55,20:10,4.21,0.74,3.66,0.66
2022/02/09,Wed,02:21,09:09,14:50,21:07,4.08,0.79,3.46,0.78
2022/02/10,Thu,03:15,10:05,15:52,22:00,4.01,0.73,3.38,0.79
2022/02/11,Fri,04:15,10:56,16:53,22:50,4.03,0.6,3.44,0.7
2022/02/12,Sat,05:12,11:44,17:47,23:38,4.15,0.43,3.61,0.54
2022/02/13,Sun,06:02,12:29,18:33,,4.35,0.25,3.81,
2022/02/14,Mon,00:24,06:44,13:13,19:14,0.35,4.55,0.06,4
2022/02/15,Tue,01:08,07:22,13:54,19:51,0.15,4.73,-0.12,4.16
2022/02/16,Wed,01:51,07:55,14:32,20:25,-0.02,4.85,-0.26,4.29
2022/02/17,Thu,02:32,08:27,15:09,20:59,-0.15,4.9,-0.35,4.4
2022/02/18,Fri,03:12,09:00,15:43,21:34,-0.22,4.88,-0.38,4.51
2022/02/19,Sat,03:51,09:36,16:17,22:12,-0.22,4.78,-0.34,4.61
2022/02/20,Sun,04:31,10:18,16:51,22:55,-0.13,4.62,-0.23,4.69
2022/02/21,Mon,05:16,11:06,17:29,23:43,0.03,4.4,-0.05,4.73
2022/02/22,Tue,06:12,12:01,18:17,,0.23,4.17,0.18,
2022/02/23,Wed,00:37,07:25,13:01,19:29,4.74,0.4,3.96,0.38
2022/02/24,Thu,01:36,08:42,14:08,20:49,4.71,0.4,3.8,0.42
2022/02/25,Fri,02:44,09:50,15:24,21:59,4.7,0.25,3.78,0.29
2022/02/26,Sat,04:00,10:51,16:42,23:01,4.78,0,3.95,0.05
2022/02/27,Sun,05:12,11:47,17:48,23:58,4.98,-0.27,4.26,-0.21
2022/02/28,Mon,06:13,12:40,18:43,,5.23,-0.52,4.59,
2022/03/01,Tue,00:53,07:05,13:30,19:32,-0.44,5.42,-0.72,4.86
2022/03/02,Wed,01:45,07:52,14:17,20:18,-0.6,5.49,-0.83,5.03
2022/03/03,Thu,02:34,08:37,15:00,21:03,-0.65,5.41,-0.82,5.08
2022/03/04,Fri,03:20,09:22,15:41,21:48,-0.57,5.21,-0.67,5.04
2022/03/05,Sat,04:05,10:08,16:20,22:32,-0.38,4.92,-0.41,4.91
2022/03/06,Sun,04:49,10:54,16:58,23:16,-0.09,4.58,-0.05,4.73
2022/03/07,Mon,05:34,11:42,17:36,,0.26,4.24,0.35,
2022/03/08,Tue,00:00,06:24,12:30,18:18,4.51,0.6,3.93,0.74
2022/03/09,Wed,00:44,07:23,13:21,19:12,4.3,0.87,3.67,1.05
2022/03/10,Thu,01:30,08:28,14:15,20:19,4.11,1,3.5,1.22
2022/03/11,Fri,02:23,09:28,15:15,21:23,3.97,0.99,3.43,1.2
2022/03/12,Sat,03:26,10:22,16:18,22:18,3.94,0.87,3.51,1.05
