Date,Day,Time-1,Time-2,Time-3,Time-4,Pred(Ft)-1,Pred(Ft)-2,Pred(Ft)-3,Pred(Ft)-4
2022/01/01,Sat,06:06,12:44,18:34,,5.86,-0.78,4.6,
2022/01/02,Sun,00:46,07:00,13:38,19:29,-0.7,6.03,-0.96,4.72
2022/01/03,Mon,01:41,07:52,14:31,20:22,-0.78,6.05,-1.04,4.75
2022/01/04,Tue,02:35,08:45,15:20,21:17,-0.76,5.93,-1.01,4.72
2022/01/05,Wed,03:27,09:38,16:09,22:13,-0.63,5.68,-0.88,4.64
2022/01/06,Thu,04:18,10:32,16:56,23:09,-0.39,5.37,-0.65,4.56
2022/01/07,Fri,05:10,11:26,17:45,,-0.06,5.02,-0.38,
2022/01/08,Sat,00:03,06:06,12:17,18:35,4.48,0.28,4.65,-0.1
2022/01/09,Sun,00:54,07:09,13:07,19:29,4.41,0.55,4.3,0.13
2022/01/10,Mon,01:44,08:14,13:58,20:22,4.36,0.67,4,0.28
2022/01/11,Tue,02:34,09:14,14:51,21:13,4.33,0.65,3.77,0.36
2022/01/12,Wed,03:25,10:08,15:47,22:00,4.36,0.54,3.66,0.37
2022/01/13,Thu,04:17,10:56,16:44,22:45,4.43,0.4,3.66,0.34
2022/01/14,Fri,05:07,11:42,17:36,23:30,4.56,0.24,3.75,0.27
2022/01/15,Sat,05:52,12:27,18:22,,4.7,0.1,3.87,
2022/01/16,Sun,00:15,06:34,13:10,19:04,0.19,4.82,-0.02,3.98
2022/01/17,Mon,00:59,07:12,13:52,19:44,0.11,4.9,-0.11,4.04
2022/01/18,Tue,01:42,07:49,14:31,20:22,0.04,4.94,-0.17,4.06
2022/01/19,Wed,02:22,08:24,15:08,21:00,0.01,4.93,-0.19,4.06
2022/01/20,Thu,03:01,08:59,15:43,21:38,0.01,4.88,-0.18,4.08
2022/01/21,Fri,03:39,09:36,16:16,22:20,0.06,4.79,-0.14,4.13
2022/01/22,Sat,04:18,10:18,16:51,23:05,0.15,4.66,-0.08,4.24
2022/01/23,Sun,05:01,11:06,17:29,23:53,0.27,4.5,0,4.38
2022/01/24,Mon,05:55,11:58,18:16,,0.41,4.32,0.09,
2022/01/25,Tue,00:44,07:05,12:55,19:18,4.54,0.49,4.13,0.17
2022/01/26,Wed,01:40,08:23,13:58,20:30,4.7,0.43,3.98,0.16
2022/01/27,Thu,02:41,09:33,15:07,21:37,4.87,0.2,3.93,0.02
2022/01/28,Fri,03:48,10:36,16:18,22:39,5.08,-0.1,4.03,-0.19
2022/01/29,Sat,04:53,11:34,17:25,23:38,5.34,-0.4,4.26,-0.41
2022/01/30,Sun,05:54,12:30,18:23,,5.61,-0.67,4.54,
2022/01/31,Mon,00:35,06:48,13:23,19:17,-0.62,5.82,-0.88,4.78
2022/02/01,Tue,01:30,07:39,14:13,20:07,-0.76,5.89,-1.01,4.92
2022/02/02,Wed,02:22,08:28,14:59,20:57,-0.8,5.81,-1.02,4.95
2022/02/03,Thu,03:10,09:17,15:42,21:47,-0.7,5.59,-0.91,4.9
2022/02/04,Fri,03:57,10:05,16:24,22:37,-0.48,5.27,-0.68,4.8
2022/02/05,Sat,04:44,10:54,17:05,23:26,-0.16,4.89,-0.37,4.66
2022/02/06,Sun,05:32,11:42,17:46,,0.2,4.49,-0.01,
2022/02/07,Mon,00:13,06:26,12:30,18:32,4.51,0.54,4.12,0.34
2022/02/08,Tue,00:59,07:27,13:20,19:25,4.37,0.77,3.8,0.61
